task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_brutal,"(1, 2)",2.0,1.0,True,1.0,dice,12.98,0.11842,0.13736,0.12352,0.11842,0.064,0.224,0.224,0.0224,0.064
typo_brutal,"(1, 2)",2.0,1.0,True,0.0,geo,13.27,0.08889,0.10381,0.08577,0.08889,0.048,0.18,0.18,0.018,0.048
typo_brutal,"(1, 2)",2.0,1.0,True,0.5,geo,13.1,0.11448,0.13103,0.11155,0.11448,0.064,0.216,0.216,0.0216,0.064
typo_brutal,"(1, 2)",2.0,1.0,True,1.0,geo,13.66,0.12728,0.15346,0.12634,0.12728,0.064,0.264,0.264,0.0264,0.064
typo_brutal,"(1, 2)",2.0,2.0,False,0.0,dice,12.78,0.0579,0.0668,0.0566,0.0579,0.024,0.12,0.12,0.012,0.024
typo_brutal,"(1, 2)",2.0,2.0,False,0.5,dice,13.08,0.06632,0.07731,0.06318,0.06632,0.028,0.136,0.136,0.0136,0.028
typo_brutal,"(1, 2)",2.0,2.0,False,1.0,dice,12.93,0.0744,0.086,0.06893,0.0744,0.032,0.148,0.148,0.0148,0.032
typo_brutal,"(1, 2)",2.0,2.0,True,0.0,dice,13.16,0.06973,0.08051,0.06992,0.06973,0.044,0.132,0.132,0.0132,0.044
typo_brutal,"(1, 2)",2.0,2.0,True,0.5,dice,13.07,0.0995,0.11262,0.09951,0.0995,0.064,0.172,0.172,0.0172,0.064
typo_brutal,"(1, 2)",2.0,2.0,True,1.0,dice,13.06,0.11295,0.12615,0.11328,0.11295,0.068,0.188,0.188,0.0188,0.068
typo_brutal,"(1, 2)",2.0,2.0,True,0.0,geo,14.35,0.07505,0.08609,0.07545,0.07505,0.044,0.14,0.14,0.014,0.044
typo_brutal,"(1, 2)",2.0,2.0,True,0.5,geo,13.99,0.11062,0.12504,0.1145,0.11062,0.072,0.188,0.188,0.0188,0.072
