task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(2, 4)",3.0,3.0,True,0.33,0.31,0.72535,0.76216,0.72535,0.63071,0.88797
typo,"(3, 4)",0.0,0.5,False,0.35,0.19,0.79881,0.82062,0.79881,0.73859,0.89212
typo,"(3, 4)",0.0,0.5,True,0.35,0.2,0.78713,0.8149,0.78713,0.72199,0.90871
typo,"(3, 4)",0.0,1.0,False,0.35,0.06,0.79881,0.82062,0.79881,0.73859,0.89212
typo,"(3, 4)",0.0,1.0,True,0.35,0.12,0.79007,0.81818,0.79007,0.72614,0.91286
typo,"(3, 4)",0.0,2.0,False,0.35,0.17,0.79906,0.8208,0.79906,0.73859,0.89212
typo,"(3, 4)",0.0,2.0,True,0.35,0.14,0.79398,0.82204,0.79398,0.73029,0.91701
typo,"(3, 4)",0.0,3.0,False,0.35,0.15,0.80261,0.82464,0.80261,0.74274,0.89627
typo,"(3, 4)",0.0,3.0,True,0.35,0.24,0.79488,0.82273,0.79488,0.73029,0.91701
typo,"(3, 4)",0.5,0.5,False,0.31,0.14,0.79277,0.81557,0.79277,0.73029,0.89212
typo,"(3, 4)",0.5,0.5,True,0.31,0.19,0.78754,0.81526,0.78754,0.72199,0.90871
typo,"(3, 4)",0.5,1.0,False,0.31,0.13,0.79263,0.81546,0.79263,0.73029,0.89212
typo,"(3, 4)",0.5,1.0,True,0.31,0.17,0.79,0.81815,0.79,0.72614,0.91286
typo,"(3, 4)",0.5,2.0,False,0.31,0.14,0.79297,0.81575,0.79297,0.73029,0.89212
typo,"(3, 4)",0.5,2.0,True,0.31,0.09,0.79828,0.82541,0.79828,0.73444,0.91701
typo,"(3, 4)",0.5,3.0,False,0.31,0.21,0.79418,0.81761,0.79418,0.73029,0.89627
typo,"(3, 4)",0.5,3.0,True,0.31,0.22,0.80084,0.82958,0.80084,0.73859,0.92531
typo,"(3, 4)",1.0,0.5,False,0.38,0.17,0.77824,0.80332,0.77824,0.70954,0.88797
typo,"(3, 4)",1.0,0.5,True,0.38,0.17,0.78684,0.81145,0.78684,0.72199,0.89627
typo,"(3, 4)",1.0,1.0,False,0.38,0.11,0.78179,0.80611,0.78179,0.71369,0.88797
typo,"(3, 4)",1.0,1.0,True,0.38,0.13,0.78929,0.81423,0.78929,0.72614,0.90041
typo,"(3, 4)",1.0,2.0,False,0.38,0.14,0.7849,0.80819,0.7849,0.71784,0.88797
typo,"(3, 4)",1.0,2.0,True,0.38,0.23,0.7981,0.82435,0.7981,0.73444,0.91286
typo,"(3, 4)",1.0,3.0,False,0.38,0.25,0.78757,0.81129,0.78757,0.72199,0.89212
typo,"(3, 4)",1.0,3.0,True,0.38,0.16,0.80135,0.82687,0.80135,0.73859,0.91286
typo,"(3, 4)",2.0,0.5,False,0.4,0.18,0.76805,0.79422,0.76805,0.6971,0.88382
typo,"(3, 4)",2.0,0.5,True,0.4,0.2,0.76755,0.79705,0.76755,0.6971,0.89627
typo,"(3, 4)",2.0,1.0,False,0.4,0.13,0.76785,0.79407,0.76785,0.6971,0.88382
typo,"(3, 4)",2.0,1.0,True,0.4,0.08,0.77069,0.80153,0.77069,0.70124,0.90456
